section,name,priority,themes,roles,preferred_forms,identity_status
"minerals_crystals","Blue Lace Agate","B_DESIGN_EXTENSION","Glacier|Ocean","atmosphere|transition|soft_color","5-8mm round|8-14mm oval|10-18mm irregular","canonical_match"
"minerals_crystals","Kunzite","B_DESIGN_EXTENSION","Sunrise|Starlight","light|soft_color|hero","5-8mm round|6-10mm faceted|10-16mm focal","canonical_match"
"minerals_crystals","Bloodstone","B_DESIGN_EXTENSION","Forest|Mountain","texture|anchor|geological_composition","6-10mm round|8-14mm irregular|10-18mm focal","canonical_match"
"minerals_crystals","White Phantom Quartz","B_DESIGN_EXTENSION","Glacier|Mountain","texture|light|geological_composition","8-10mm round|10-16mm irregular|12-20mm focal","canonical_match"
"minerals_crystals","Rose Quartz","B_DESIGN_EXTENSION","Sunrise","soft_color|atmosphere|transition","5-8mm round|8-14mm irregular","canonical_match"
"minerals_crystals","Rainbow Obsidian","B_DESIGN_EXTENSION","Starlight|Mountain","shadow|hero|optical_detail","8-10mm round|10-18mm focal","canonical_match"
"minerals_crystals","Larimar","C_SIGNATURE_ONE_OF_ONE","Ocean|Glacier","hero|painterly_mineral|one_of_one","8x5mm tumbled|10-18mm oval|12-25mm irregular/freeform","canonical_match"
"minerals_crystals","Gold Rutilated Quartz","C_SIGNATURE_ONE_OF_ONE","Sunrise|Mountain|Starlight","hero|light|optical_detail","8-12mm round|12-22mm oval/irregular focal","canonical_match"
"minerals_crystals","Black Rutilated Quartz","C_SIGNATURE_ONE_OF_ONE","Starlight|Mountain|Forest","hero|shadow|optical_detail","8-12mm round|12-22mm oval/irregular focal","canonical_match"
"minerals_crystals","Rutilated Quartz","C_SIGNATURE_ONE_OF_ONE","Mountain|Starlight","hero|geological_composition|one_of_one","8-12mm round|12-25mm irregular focal","canonical_match"
"minerals_crystals","Sugilite","C_SIGNATURE_ONE_OF_ONE","Starlight","hero|color_field|one_of_one","6-10mm round|10-18mm focal","canonical_match"
"minerals_crystals","Aquamarine / collector focal grade","C_SIGNATURE_ONE_OF_ONE","Glacier|Ocean","hero|light|one_of_one","10-18mm faceted irregular|12-25mm oval/freeform","candidate_only"
"pearls_organic","White freshwater pearl","A_CORE","Glacier|Ocean|Sunrise","light|micro_cluster|transition","3-5mm rice/irregular|4-6mm small baroque","candidate_only"
"pearls_organic","White South Sea Pearl","C_SIGNATURE_ONE_OF_ONE","Glacier|Ocean","hero|light","8-12mm near-round/baroque focal","canonical_match"
"pearls_organic","Golden South Sea Pearl","C_SIGNATURE_ONE_OF_ONE","Sunrise","hero|warm_light","8-12mm near-round/baroque focal","canonical_match"
"pearls_organic","Dark wood / agarwood-like structural spacer","B_DESIGN_EXTENSION","Forest|Mountain","texture|transition|warm_anchor","2-5mm thin irregular disc|4-8mm short tube|small carved/irregular segment","candidate_only"
"hardware_accessories","925 sterling silver micro spacer","A_CORE","","separator|transition|micro_accent","2-4mm, polished or satin, visually minimal","candidate_only"
"hardware_accessories","925 sterling silver curved tube","A_CORE","","structural_interruption|secondary_line","20-30mm length class; clean curve; no ornate engraving","candidate_only"
"hardware_accessories","925 sterling silver thin frame / bezel","A_CORE","","frame|hero_assembly","oval/freeform/polygon stone framing; thin profile; open or visually light construction","candidate_only"
"hardware_accessories","925 sterling silver half-cap / edge-cap","A_CORE","","cap|transition","for irregular or focal minerals; restrained geometry","candidate_only"
"hardware_accessories","925 sterling silver geometric connector","A_CORE","","connector|structural_mineral_partner","bar/block/ring geometry; small scale; no ornate motif","candidate_only"
"hardware_accessories","925 sterling silver small round counterweight","A_CORE","","anchor|counterweight|transition","approximately 5-8mm visual scale, smooth or lightly textured","candidate_only"
"hardware_accessories","925 sterling silver fine chain + minimal clasp","B_DESIGN_EXTENSION","","extension|closure|secondary_line","thin chain, minimal clasp, suitable only for non-elastic constructions","candidate_only"
"hardware_accessories","925 sterling silver micro organic charm","B_DESIGN_EXTENSION","","micro_accent|narrative_component","small leaf/botanical/abstract form; secondary only, never the main product story","candidate_only"
"hardware_accessories","Oxidized / blackened sterling silver micro accent","B_DESIGN_EXTENSION","","shadow|micro_accent","small-scale only; use to connect dark mineral palettes","candidate_only"
"hardware_accessories","Gold-tone hardware","RESERVE_NOT_CORE","","accent","Do not build V1 around gold plating. Revisit only for explicit Sunrise or Black-Gold capsule designs.","candidate_only"
"packaging","Compact matte white rigid presentation box","A_CORE","","","clean white or cool off-white, matte/soft-touch or fine paper texture, compact interior, no visible gold trim","candidate_only"
"packaging","Cool grey rigid drawer box","A_CORE","","","stone grey / blue-grey, low-saturation, restrained typography, removable insert","candidate_only"
"packaging","Soft grey or pearl-white protective pouch","A_CORE","","","non-shedding, low-lint fabric; avoid heavy black velvet as default","candidate_only"
"packaging","Cotton-linen envelope pouch","B_DESIGN_EXTENSION","","","natural but refined weave, cool beige/grey preferred over rustic brown","candidate_only"
"packaging","Book-style magnetic box","C_SIGNATURE_ONE_OF_ONE","","","minimal exterior, no ritual/mystical graphics, space for material card and one-of-one certificate","candidate_only"
"packaging","Material disclosure + care card","A_CORE","","","state material names/status and care; no healing/energy claims; visually editorial, not mystical","candidate_only"
"packaging","One-of-One certificate card","C_SIGNATURE_ONE_OF_ONE","","","record design code, material composition, date/batch and visible uniqueness notes; do not claim unverifiable geology/authenticity","candidate_only"
"packaging","Branded shipping mailer","A_CORE","","","plain protective exterior, compact, recyclable preference where practical; presentation box remains the visual product layer","candidate_only"
